'port','type','validation_time','update_duration','repo_fetch'
7001,'ipfs','1900-01-01 22:33:50','0.217801600','0.215'
7002,'ipfs','1900-01-01 22:33:49','0.299485300','0.292'
7001,'ipfs','1900-01-01 22:34:50','0.087021500','0.083'
7002,'ipfs','1900-01-01 22:34:49','0.144311200','0.141'
