'port','type','validation_time','update_duration','repo_fetch'
7001,'ipfs','1900-01-01 07:46:00','0.179667900','0.176'
7001,'ipfs','1900-01-01 08:01:33','0.386828700','0.380'
7001,'ipfs','1900-01-01 08:02:29','0.063772400','0.061'
7001,'ipfs','1900-01-01 08:03:29','0.089797800','0.086'
7001,'ipfs','1900-01-01 08:04:29','0.053679400','0.050'
7001,'ipfs','1900-01-01 08:05:29','0.053225700','0.051'
